id,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
0,Maruti Alto,Maruti,Alto,9,120000,Individual,Petrol,Manual,19.7,796,46.3,5,120000
1,Hyundai Grand,Hyundai,Grand,5,20000,Individual,Petrol,Manual,18.9,1197,82,5,550000
2,Hyundai i20,Hyundai,i20,11,60000,Individual,Petrol,Manual,17,1197,80,5,215000
3,Maruti Alto,Maruti,Alto,9,37000,Individual,Petrol,Manual,20.92,998,67.1,5,226000
4,Ford Ecosport,Ford,Ecosport,6,30000,Dealer,Diesel,Manual,22.77,1498,98.59,5,570000
5,Maruti Wagon R,Maruti,Wagon R,8,35000,Individual,Petrol,Manual,18.9,998,67.1,5,350000
6,Hyundai i10,Hyundai,i10,8,40000,Dealer,Petrol,Manual,20.36,1197,78.9,5,315000
7,Maruti Wagon R,Maruti,Wagon R,3,17512,Dealer,Petrol,Manual,20.51,998,67.04,5,410000
8,Hyundai Venue,Hyundai,Venue,2,20000,Individual,Petrol,Automatic,18.15,998,118.35,5,1050000
9,Mahindra TUV,Mahindra,TUV,4,70000,Dealer,Diesel,Manual,18.49,1493,100,7,575000
10,Tata Indigo,Tata,Indigo,6,50000,Individual,Diesel,Manual,19.09,1405,69.01,5,305000
11,Renault Captur,Renault,Captur,2,18000,Individual,Diesel,Manual,20.37,1461,108.49,5,1150000
12,Maruti Swift,Maruti,Swift,4,28321,Dealer,Petrol,Manual,16.6,1197,85,5,511000
13,Nissan Micra,Nissan,Micra,5,27000,Dealer,Petrol,Automatic,19.34,1198,76,5,410000
14,Hyundai Verna,Hyundai,Verna,8,65278,Dealer,Diesel,Manual,22.32,1582,126.32,5,425000
15,Renault Duster,Renault,Duster,5,50000,Individual,Diesel,Manual,19.64,1461,108.45,5,750000
16,Mini Cooper,Mini,Cooper,4,6000,Dealer,Petrol,Automatic,14.41,1998,189.08,5,3250000
17,Maruti Ciaz,Maruti,Ciaz,5,76000,Dealer,Diesel,Manual,28.09,1248,88.5,5,650000
18,Maruti Swift,Maruti,Swift,5,20000,Individual,Diesel,Manual,25.2,1248,74,5,627000
19,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,7,65000,Dealer,Diesel,Automatic,19.27,2143,170,5,1425000
20,Maruti Swift,Maruti,Swift,7,62200,Dealer,Diesel,Manual,28.4,1248,74,5,425000
21,Toyota Innova,Toyota,Innova,8,110000,Individual,Diesel,Manual,12.99,2494,100.6,8,605000
22,Maruti Baleno,Maruti,Baleno,6,20000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000
23,Maruti Swift Dzire,Maruti,Swift Dzire,5,40000,Individual,Petrol,Manual,20.85,1197,83.14,5,575000
24,Fiat Grande,Fiat,Grande,9,97000,Individual,Diesel,Manual,17.8,1248,76,5,260000
25,Volkswagen Vento,Volkswagen,Vento,8,47000,Dealer,Petrol,Manual,16.09,1598,103.2,5,425000
26,Maruti Alto,Maruti,Alto,8,25000,Dealer,Petrol,Manual,20.92,998,67.1,5,230000
27,Hyundai Creta,Hyundai,Creta,2,15000,Individual,Diesel,Manual,19.67,1582,126.2,5,1225000
28,Mahindra Xylo,Mahindra,Xylo,11,56823,Dealer,Diesel,Manual,14.02,2179,118.3,8,375000
29,Honda City,Honda,City,6,50000,Individual,Petrol,Manual,17.4,1497,117.3,5,750000
30,Mahindra Bolero,Mahindra,Bolero,10,25000,Individual,Diesel,Manual,13.6,2523,63,7,350000
31,Maruti Swift Dzire,Maruti,Swift Dzire,6,90000,Individual,Diesel,Manual,26.59,1248,74,5,600000
32,Maruti Swift Dzire,Maruti,Swift Dzire,8,45000,Dealer,Diesel,Manual,26.59,1248,74,5,390000
33,Honda City,Honda,City,14,77253,Dealer,Petrol,Manual,17.7,1497,78,5,145000
34,Hyundai i20,Hyundai,i20,3,25000,Individual,Petrol,Manual,17.19,1197,81.86,5,700000
35,Toyota Fortuner,Toyota,Fortuner,8,110000,Individual,Diesel,Manual,13,2982,168.5,7,1150000
36,Renault KWID,Renault,KWID,4,30000,Individual,Petrol,Manual,23.01,999,67,5,340000
37,Honda Amaze,Honda,Amaze,5,39993,Dealer,Petrol,Manual,18.6,1199,88.76,5,465000
38,Hyundai Santro,Hyundai,Santro,12,80000,Individual,Petrol,Manual,17.92,1086,62.1,5,125000
39,Mahindra XUV500,Mahindra,XUV500,9,185000,Individual,Diesel,Manual,15.1,2179,140,7,600000
40,Maruti Swift Dzire,Maruti,Swift Dzire,8,90000,Individual,Diesel,Manual,23.4,1248,74,5,380000
41,Mahindra Xylo,Mahindra,Xylo,12,60000,Individual,Diesel,Manual,14,2498,112,8,400000
42,Chevrolet Sail,Chevrolet,Sail,7,90000,Individual,Diesel,Manual,22.1,1248,74,5,300000
43,Hyundai Xcent,Hyundai,Xcent,6,20000,Individual,Petrol,Manual,19.1,1197,82,5,500000
44,Hyundai i20,Hyundai,i20,3,15000,Individual,Diesel,Manual,22.54,1396,88.73,5,850000
45,Hyundai i20,Hyundai,i20,3,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,598000
46,Honda City,Honda,City,6,31180,Dealer,Petrol,Automatic,18,1497,117.3,5,700000
47,Mahindra TUV,Mahindra,TUV,3,40000,Individual,Diesel,Automatic,18.49,1493,100,7,900000
48,Maruti 800,Maruti,800,17,50000,Individual,Petrol,Manual,16.1,796,37,4,75000
49,Tata Indigo,Tata,Indigo,6,58000,Individual,Diesel,Manual,19.09,1396,69,5,300000
50,Maruti Swift Dzire,Maruti,Swift Dzire,7,56000,Dealer,Diesel,Manual,23.4,1248,74,5,410000
51,Fiat Grande,Fiat,Grande,10,93000,Individual,Diesel,Manual,20.5,1248,91.7,5,300000
52,Ambassador Avigo,Ambassador,Avigo,11,86000,Dealer,Petrol,Manual,12.2,1817,75,5,225000
53,Maruti Baleno,Maruti,Baleno,5,52427,Dealer,Petrol,Automatic,21.4,1197,83.1,5,590000
54,Mahindra Bolero,Mahindra,Bolero,1,40000,Individual,Diesel,Manual,21,1498,74.96,7,850000
55,Tata Nano,Tata,Nano,10,70000,Individual,Petrol,Manual,26,624,35,4,108000
56,Mahindra KUV100,Mahindra,KUV100,3,17000,Individual,Petrol,Manual,18.15,1198,82,5,550000
57,Toyota Etios,Toyota,Etios,9,54325,Dealer,Petrol,Manual,17.6,1496,88.73,5,325000
58,Maruti Baleno,Maruti,Baleno,5,22000,Dealer,Petrol,Manual,15.4,1590,94,5,625000
59,Maruti Swift Dzire,Maruti,Swift Dzire,5,54000,Individual,Petrol,Manual,20.85,1197,83.14,5,600000
60,Maruti Wagon R,Maruti,Wagon R,2,10000,Individual,Petrol,Manual,20.51,998,67.04,5,445000
61,Maruti Ignis,Maruti,Ignis,2,20000,Individual,Petrol,Manual,20.89,1197,81.8,5,530000
62,Toyota Corolla,Toyota,Corolla,10,61000,Dealer,Petrol,Manual,14.53,1798,138.1,5,385000
63,Maruti Wagon R,Maruti,Wagon R,3,53237,Trustmark Dealer,CNG,Manual,26.6,998,58.16,5,410000
64,Datsun RediGO,Datsun,RediGO,3,27263,Individual,Petrol,Manual,22.5,999,68,5,350000
65,Tata Indigo,Tata,Indigo,7,90000,Individual,Diesel,Manual,25,1396,69.01,5,265000
66,Hyundai Verna,Hyundai,Verna,7,110000,Individual,Diesel,Manual,22.32,1582,126.3,5,520000
67,Hyundai i20,Hyundai,i20,5,70000,Individual,Diesel,Manual,22.54,1396,88.73,5,750000
68,Maruti Swift Dzire,Maruti,Swift Dzire,4,70000,Individual,Diesel,Manual,26.59,1248,74,5,560000
69,Tata Vista,Tata,Vista,7,190000,Individual,Diesel,Manual,19.1,1405,70,5,200000
70,Hyundai Xcent,Hyundai,Xcent,4,40000,Individual,Diesel,Manual,25.4,1186,73.97,5,600000
71,Hyundai i20,Hyundai,i20,2,39000,Dealer,Petrol,Manual,18.6,1197,81.83,5,655000
72,Hyundai Santro,Hyundai,Santro,14,56000,Dealer,Petrol,Manual,17.8,1086,63,5,125000
73,Toyota Corolla,Toyota,Corolla,12,58000,Dealer,Petrol,Automatic,14.53,1794,138.1,5,425000
74,Maruti Omni,Maruti,Omni,4,40000,Individual,Petrol,Manual,16.8,796,34.2,8,220000
75,Hyundai i20,Hyundai,i20,3,34000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000
76,Mahindra Scorpio,Mahindra,Scorpio,4,50000,Individual,Diesel,Manual,15.4,1997,120,7,1150000
77,Volkswagen Vento,Volkswagen,Vento,9,77400,Individual,Diesel,Manual,20.54,1598,103.6,5,500000
78,Mahindra Marazzo,Mahindra,Marazzo,2,36000,Individual,Diesel,Manual,17.3,1497,121,7,990000
79,Hyundai Verna,Hyundai,Verna,8,47876,Dealer,Diesel,Manual,25,1493,113.42,5,551000
80,Mahindra XUV500,Mahindra,XUV500,3,21500,Individual,Diesel,Automatic,15.1,2179,152.87,7,1650000
